Source,Target,Weight
Lydia,Mr. Darcy,0.02608885017421603
Lydia,Mr. Bingley,0.019406729634002362
Lydia,Elizabeth,0.046222527472527475
Lydia,Miss Bingley,0.018501472754050074
Lydia,Lydia,0.005357142857142858
Lydia,Lady Catherine,0.005357142857142858
Lydia,Mary,0.0531099518459069
Lydia,Georgiana,0.05009398496240601
Lydia,Collins,0.04322842998585573
Lydia,Charlotte,0.018957142857142856
Lydia,Mr. Wickham,0.1289935064935065
Lydia,Miss de Bourgh,0.005357142857142858
Lydia,Mr. Bennet,0.09578267477203646
Lydia,Mrs. Bennet,0.08504464285714285
Lydia,Jane,0.03397667147667147
Lydia,Louisa,0.005357142857142858
Lydia,Mr. Hurst,0.005357142857142858
Lydia,Lucases,0.04583333333333333
Lydia,Miss Lucas,0.02001231527093596
Lydia,Sir William,0.005357142857142858
Lydia,Mrs. Gardiner,0.031114718614718616
Lydia,Mr. Gardiner,0.15318322981366458
Lydia,Mr. Phillips,0.005357142857142858
Lydia,Mrs. Phillips,0.12126623376623374
Lydia,Fitzwilliam,0.005357142857142858
Lydia,Colonel Forster,0.28869047619047616
Lydia,Mrs. Forster,0.5720238095238095
Lydia,Mr. Jones,0.005357142857142858
Lady Catherine,Mr. Darcy,0.03645470383275261
Lady Catherine,Mr. Bingley,0.017065131837859113
Lady Catherine,Elizabeth,0.04131868131868132
Lady Catherine,Miss Bingley,0.014120029455081003
Lady Catherine,Lydia,0.005357142857142858
Lady Catherine,Lady Catherine,0.005357142857142858
Lady Catherine,Mary,0.005357142857142858
Lady Catherine,Georgiana,0.005357142857142858
Lady Catherine,Collins,0.08951555869872702
Lady Catherine,Charlotte,0.059757142857142856
Lady Catherine,Mr. Wickham,0.036266233766233766
Lady Catherine,Miss de Bourgh,0.2342032967032967
Lady Catherine,Mr. Bennet,0.059612462006079024
Lady Catherine,Mrs. Bennet,0.025279017857142858
Lady Catherine,Jane,0.005357142857142858
Lady Catherine,Louisa,0.005357142857142858
Lady Catherine,Mr. Hurst,0.005357142857142858
Lady Catherine,Lucases,0.005357142857142858
Lady Catherine,Miss Lucas,0.03466748768472906
Lady Catherine,Sir William,0.04489202657807309
Lady Catherine,Mrs. Gardiner,0.005357142857142858
Lady Catherine,Mr. Gardiner,0.005357142857142858
Lady Catherine,Mr. Phillips,0.005357142857142858
Lady Catherine,Mrs. Phillips,0.043993506493506494
Lady Catherine,Fitzwilliam,0.06397783251231527
Lady Catherine,Colonel Forster,0.005357142857142858
Lady Catherine,Mrs. Forster,0.005357142857142858
Lady Catherine,Mr. Jones,0.005357142857142858
Mary,Mr. Darcy,0.10383275261324042
Mary,Mr. Bingley,0.019406729634002362
Mary,Elizabeth,0.02660714285714286
Mary,Miss Bingley,0.03164580265095729
Mary,Lydia,0.04263784461152882
Mary,Lady Catherine,0.005357142857142858
Mary,Mary,0.005357142857142858
Mary,Georgiana,0.005357142857142858
Mary,Collins,0.013772984441301275
Mary,Charlotte,0.005357142857142858
Mary,Mr. Wickham,0.005357142857142858
Mary,Miss de Bourgh,0.03804945054945055
Mary,Mr. Bennet,0.0415273556231003
Mary,Mrs. Bennet,0.031919642857142855
Mary,Jane,0.031114718614718616
Mary,Louisa,0.005357142857142858
Mary,Mr. Hurst,0.005357142857142858
Mary,Lucases,0.04583333333333333
Mary,Miss Lucas,0.005357142857142858
Mary,Sir William,0.005357142857142858
Mary,Mrs. Gardiner,0.005357142857142858
Mary,Mr. Gardiner,0.04231366459627329
Mary,Mr. Phillips,0.005357142857142858
Mary,Mrs. Phillips,0.005357142857142858
Mary,Fitzwilliam,0.03466748768472906
Mary,Colonel Forster,0.005357142857142858
Mary,Mrs. Forster,0.005357142857142858
Mary,Mr. Jones,0.005357142857142858
Georgiana,Mr. Darcy,0.018314459930313588
Georgiana,Mr. Bingley,0.01238193624557261
Georgiana,Elizabeth,0.01353021978021978
Georgiana,Miss Bingley,0.014120029455081003
Georgiana,Lydia,0.01281328320802005
Georgiana,Lady Catherine,0.005357142857142858
Georgiana,Mary,0.005357142857142858
Georgiana,Georgiana,0.005357142857142858
Georgiana,Collins,0.005357142857142858
Georgiana,Charlotte,0.005357142857142858
Georgiana,Mr. Wickham,0.020811688311688312
Georgiana,Miss de Bourgh,0.005357142857142858
Georgiana,Mr. Bennet,0.005357142857142858
Georgiana,Mrs. Bennet,0.005357142857142858
Georgiana,Jane,0.005357142857142858
Georgiana,Louisa,0.28869047619047616
Georgiana,Mr. Hurst,0.005357142857142858
Georgiana,Lucases,0.005357142857142858
Georgiana,Miss Lucas,0.005357142857142858
Georgiana,Sir William,0.005357142857142858
Georgiana,Mrs. Gardiner,0.005357142857142858
Georgiana,Mr. Gardiner,0.04231366459627329
Georgiana,Mr. Phillips,0.005357142857142858
Georgiana,Mrs. Phillips,0.005357142857142858
Georgiana,Fitzwilliam,0.005357142857142858
Georgiana,Colonel Forster,0.005357142857142858
Georgiana,Mrs. Forster,0.005357142857142858
Georgiana,Mr. Jones,0.005357142857142858
Collins,Mr. Darcy,0.028680313588850176
Collins,Mr. Bingley,0.024089925226288864
Collins,Elizabeth,0.08872252747252746
Collins,Miss Bingley,0.00973858615611193
Collins,Lydia,0.07246240601503759
Collins,Lady Catherine,0.19217032967032968
Collins,Mary,0.024458266452648477
Collins,Georgiana,0.005357142857142858
Collins,Collins,0.005357142857142858
Collins,Charlotte,0.16175714285714285
Collins,Mr. Wickham,0.08262987012987012
Collins,Miss de Bourgh,0.13612637362637364
Collins,Mr. Bennet,0.15003799392097264
Collins,Mrs. Bennet,0.09832589285714285
Collins,Jane,0.042562530062530066
Collins,Louisa,0.005357142857142858
Collins,Mr. Hurst,0.005357142857142858
Collins,Lucases,0.12678571428571428
Collins,Miss Lucas,0.10794334975369457
Collins,Sir William,0.26233388704318933
Collins,Mrs. Gardiner,0.031114718614718616
Collins,Mr. Gardiner,0.04231366459627329
Collins,Mr. Phillips,0.005357142857142858
Collins,Mrs. Phillips,0.19853896103896104
Collins,Fitzwilliam,0.12259852216748768
Collins,Colonel Forster,0.005357142857142858
Collins,Mrs. Forster,0.005357142857142858
Collins,Mr. Jones,0.28869047619047616
Charlotte,Mr. Darcy,0.020905923344947733
Charlotte,Mr. Bingley,0.01472353404171586
Charlotte,Elizabeth,0.0543956043956044
Charlotte,Miss Bingley,0.014120029455081003
Charlotte,Lydia,0.020269423558897243
Charlotte,Lady Catherine,0.08008241758241758
Charlotte,Mary,0.005357142857142858
Charlotte,Georgiana,0.005357142857142858
Charlotte,Collins,0.10213932107496464
Charlotte,Charlotte,0.005357142857142858
Charlotte,Mr. Wickham,0.005357142857142858
Charlotte,Miss de Bourgh,0.10343406593406593
Charlotte,Mr. Bennet,0.0415273556231003
