Source,Target,Weight
Miss Bingley,Lady Catherine,0.002570694087403599
Lydia,Mr. Darcy,0.025431425976385105
Lydia,Mr. Bingley,0.015552099533437015
Lydia,Elizabeth,0.028840494408475574
Lydia,Miss Bingley,0.010810810810810811
Lydia,Lydia,0.0
Lydia,Catherine,0.017711171662125342
Lydia,Mary,0.2860125260960334
Lydia,Georgiana,0.0
Lydia,Collins,0.02564102564102564
Lydia,Charlotte,0.029585798816568046
Lydia,Mr. Wickham,0.06962025316455696
Lydia,Miss de Bourgh,0.0
Lydia,Mr. Bennet,0.08875739644970414
Lydia,Mrs. Bennet,0.050595238095238096
Lydia,Jane,0.05203252032520325
Lydia,Louisa,0.0
Lydia,Mr. Hurst,0.0
Lydia,Lucases,0.0392156862745098
Lydia,Miss Lucas,0.024096385542168676
Lydia,Sir William,0.008771929824561403
Lydia,Mrs. Gardiner,0.021052631578947368
Lydia,Mr. Gardiner,0.0945945945945946
Lydia,Mr. Phillips,0.0
Lydia,Mrs. Phillips,0.07547169811320754
Lydia,Fitzwilliam,0.012345679012345678
Lydia,Colonel Forster,0.22448979591836735
Lydia,Mrs. Forster,0.27586206896551724
Lydia,Mr. Jones,0.1111111111111111
Lydia,Lady Catherine,0.0
Catherine,Mr. Darcy,0.061762034514078114
Catherine,Mr. Bingley,0.17729393468118196
Catherine,Elizabeth,0.05532666274278988
Catherine,Miss Bingley,0.03783783783783784
Catherine,Lydia,0.031026252983293555
Catherine,Catherine,0.0
Catherine,Mary,0.033402922755741124
Catherine,Georgiana,0.022727272727272728
Catherine,Collins,0.13797313797313798
Catherine,Charlotte,0.05391190006574622
Catherine,Mr. Wickham,0.06962025316455696
Catherine,Miss de Bourgh,0.125
Catherine,Mr. Bennet,0.0650887573964497
Catherine,Mrs. Bennet,0.08928571428571429
Catherine,Jane,0.056910569105691054
Catherine,Louisa,0.0
Catherine,Mr. Hurst,0.07692307692307693
Catherine,Lucases,0.0392156862745098
Catherine,Miss Lucas,0.060240963855421686
Catherine,Sir William,0.07894736842105263
Catherine,Mrs. Gardiner,0.021052631578947368
Catherine,Mr. Gardiner,0.0
Catherine,Mr. Phillips,0.14285714285714285
Catherine,Mrs. Phillips,0.09433962264150944
Catherine,Fitzwilliam,0.06172839506172839
Catherine,Colonel Forster,0.02040816326530612
Catherine,Mrs. Forster,0.0
Catherine,Mr. Jones,0.0
Catherine,Lady Catherine,0.2544987146529563
Mary,Mr. Darcy,0.02633969118982743
Mary,Mr. Bingley,0.01866251944012442
Mary,Elizabeth,0.034137728075338436
Mary,Miss Bingley,0.010810810810810811
Mary,Lydia,0.3269689737470167
Mary,Catherine,0.021798365122615803
Mary,Mary,0.0
Mary,Georgiana,0.0
Mary,Collins,0.029304029304029304
Mary,Charlotte,0.03550295857988166
Mary,Mr. Wickham,0.06962025316455696
Mary,Miss de Bourgh,0.0
Mary,Mr. Bennet,0.09467455621301775
Mary,Mrs. Bennet,0.06547619047619048
Mary,Jane,0.0910569105691057
Mary,Louisa,0.0
Mary,Mr. Hurst,0.0
Mary,Lucases,0.058823529411764705
Mary,Miss Lucas,0.03614457831325301
Mary,Sir William,0.008771929824561403
Mary,Mrs. Gardiner,0.021052631578947368
Mary,Mr. Gardiner,0.0945945945945946
Mary,Mr. Phillips,0.0
Mary,Mrs. Phillips,0.07547169811320754
Mary,Fitzwilliam,0.012345679012345678
Mary,Colonel Forster,0.22448979591836735
Mary,Mrs. Forster,0.27586206896551724
Mary,Mr. Jones,0.1111111111111111
Mary,Lady Catherine,0.002570694087403599
Georgiana,Mr. Darcy,0.0036330608537693005
Georgiana,Mr. Bingley,0.01866251944012442
Georgiana,Elizabeth,0.004708652148322542
Georgiana,Miss Bingley,0.02702702702702703
Georgiana,Lydia,0.0
Georgiana,Catherine,0.0013623978201634877
Georgiana,Mary,0.0
Georgiana,Georgiana,0.0
Georgiana,Collins,0.001221001221001221
Georgiana,Charlotte,0.0039447731755424065
Georgiana,Mr. Wickham,0.006329113924050633
Georgiana,Miss de Bourgh,0.0
Georgiana,Mr. Bennet,0.0
Georgiana,Mrs. Bennet,0.0
Georgiana,Jane,0.0016260162601626016
Georgiana,Louisa,0.09090909090909091
Georgiana,Mr. Hurst,0.0
Georgiana,Lucases,0.0
Georgiana,Miss Lucas,0.0
Georgiana,Sir William,0.0
Georgiana,Mrs. Gardiner,0.010526315789473684
Georgiana,Mr. Gardiner,0.013513513513513514
