Source,Target,Weight
Lydia,Mr. Darcy,0.037389604875866886
Lydia,Mr. Bingley,0.03495179841976582
Lydia,Elizabeth,0.04156915991953408
Lydia,Miss Bingley,0.032297322925076234
Lydia,Lydia,0.025617345909294265
Lydia,Lady Catherine,0.005357142857142858
Lydia,Mary,0.023369570946716118
Lydia,Georgiana,0.06675516530793009
Lydia,Collins,0.033774596134032636
Lydia,Charlotte,0.027068705128007003
Lydia,Mr. Wickham,0.005357142857142858
Lydia,Miss de Bourgh,0.009190128243364152
Lydia,Mr. Bennet,0.062222352381353124
Lydia,Mrs. Bennet,0.0597185862023677
Lydia,Jane,0.03276754691211074
Lydia,Louisa,0.03251814987042332
Lydia,Mr. Hurst,0.03569531804673765
Lydia,Lucases,0.05126245413007348
Lydia,Miss Lucas,0.02483218016069364
Lydia,Sir William,0.005357142857142858
Lydia,Mrs. Gardiner,0.005357142857142858
Lydia,Mr. Gardiner,0.12846813032453436
Lydia,Mr. Phillips,0.005357142857142858
Lydia,Mrs. Phillips,0.005357142857142858
Lydia,Fitzwilliam,0.010974453260009337
Lydia,Colonel Forster,0.005357142857142858
Lydia,Mrs. Forster,0.4870876520955385
Lydia,Mr. Jones,0.005357142857142858
Lady Catherine,Mr. Darcy,0.043192097583865496
Lady Catherine,Mr. Bingley,0.03444493297000767
Lady Catherine,Elizabeth,0.058278661247665266
Lady Catherine,Miss Bingley,0.044172536143901805
Lady Catherine,Lydia,0.025617345909294265
Lady Catherine,Lady Catherine,0.005357142857142858
Lady Catherine,Mary,0.008702457418177939
Lady Catherine,Georgiana,0.005357142857142858
Lady Catherine,Collins,0.08049445877349294
Lady Catherine,Charlotte,0.05422910323842497
Lady Catherine,Mr. Wickham,0.039704988655278044
Lady Catherine,Miss de Bourgh,0.24933287354607814
Lady Catherine,Mr. Bennet,0.05030036834067304
Lady Catherine,Mrs. Bennet,0.042578036876049045
Lady Catherine,Jane,0.005357142857142858
Lady Catherine,Louisa,0.03251814987042332
Lady Catherine,Mr. Hurst,0.03569531804673765
Lady Catherine,Lucases,0.005357142857142858
Lady Catherine,Miss Lucas,0.058629358655761826
Lady Catherine,Sir William,0.06142842218375023
Lady Catherine,Mrs. Gardiner,0.019978194391354204
Lady Catherine,Mr. Gardiner,0.005357142857142858
Lady Catherine,Mr. Phillips,0.005357142857142858
Lady Catherine,Mrs. Phillips,0.051600988982797955
Lady Catherine,Fitzwilliam,0.07992254993144313
Lady Catherine,Colonel Forster,0.03443588671433432
Lady Catherine,Mrs. Forster,0.005357142857142858
Lady Catherine,Mr. Jones,0.005357142857142858
Mary,Mr. Darcy,0.06649284781787702
Mary,Mr. Bingley,0.040869943694383806
Mary,Elizabeth,0.022823111809466674
Mary,Miss Bingley,0.058711760991496685
Mary,Lydia,0.030723568549464633
Mary,Lady Catherine,0.005357142857142858
Mary,Mary,0.008702457418177939
Mary,Georgiana,0.005357142857142858
Mary,Collins,0.012326117740155351
Mary,Charlotte,0.014386087600089983
Mary,Mr. Wickham,0.02919232991732349
Mary,Miss de Bourgh,0.005357142857142858
Mary,Mr. Bennet,0.03610430302395607
Mary,Mrs. Bennet,0.02444197655924506
Mary,Jane,0.048972822553670095
Mary,Louisa,0.03251814987042332
Mary,Mr. Hurst,0.03569531804673765
Mary,Lucases,0.10504167585657148
Mary,Miss Lucas,0.005357142857142858
Mary,Sir William,0.005357142857142858
Mary,Mrs. Gardiner,0.019978194391354204
Mary,Mr. Gardiner,0.07960053450571902
Mary,Mr. Phillips,0.005357142857142858
Mary,Mrs. Phillips,0.02610638851125542
Mary,Fitzwilliam,0.005357142857142858
Mary,Colonel Forster,0.03443588671433432
Mary,Mrs. Forster,0.005357142857142858
Mary,Mr. Jones,0.005357142857142858
Georgiana,Mr. Darcy,0.03304380489790975
Georgiana,Mr. Bingley,0.021231854408405377
Georgiana,Elizabeth,0.016127429324183616
Georgiana,Miss Bingley,0.031133630197506864
Georgiana,Lydia,0.03288907280527459
Georgiana,Lady Catherine,0.005357142857142858
Georgiana,Mary,0.008702457418177939
Georgiana,Georgiana,0.005357142857142858
Georgiana,Collins,0.005357142857142858
Georgiana,Charlotte,0.014386087600089983
Georgiana,Mr. Wickham,0.03931000127371758
Georgiana,Miss de Bourgh,0.009190128243364152
Georgiana,Mr. Bennet,0.02199295099980669
Georgiana,Mrs. Bennet,0.0245672333411465
Georgiana,Jane,0.005357142857142858
Georgiana,Louisa,0.090844555191137
Georgiana,Mr. Hurst,0.03569531804673765
Georgiana,Lucases,0.005357142857142858
Georgiana,Miss Lucas,0.005357142857142858
Georgiana,Sir William,0.005357142857142858
Georgiana,Mrs. Gardiner,0.019978194391354204
Georgiana,Mr. Gardiner,0.05610873451666453
Georgiana,Mr. Phillips,0.005357142857142858
Georgiana,Mrs. Phillips,0.02610638851125542
Georgiana,Fitzwilliam,0.010974453260009337
Georgiana,Colonel Forster,0.03443588671433432
Georgiana,Mrs. Forster,0.005357142857142858
Georgiana,Mr. Jones,0.005357142857142858
Collins,Mr. Darcy,0.04017526582846072
Collins,Mr. Bingley,0.04584822683270607
Collins,Elizabeth,0.12828552328343018
Collins,Miss Bingley,0.03310043480748327
Collins,Lydia,0.056293351469170236
Collins,Lady Catherine,0.1584285073603428
Collins,Mary,0.030311098660863917
Collins,Georgiana,0.005357142857142858
Collins,Collins,0.005357142857142858
Collins,Charlotte,0.14743045431363566
Collins,Mr. Wickham,0.06403899446832363
Collins,Miss de Bourgh,0.14829111989263347
Collins,Mr. Bennet,0.07983142212973804
Collins,Mrs. Bennet,0.07819536366098566
Collins,Jane,0.03701380985549593
Collins,Louisa,0.03251814987042332
Collins,Mr. Hurst,0.03569531804673765
Collins,Lucases,0.08049512168012878
Collins,Miss Lucas,0.17358808251905322
Collins,Sir William,0.24262576363600183
Collins,Mrs. Gardiner,0.07557954269034296
Collins,Mr. Gardiner,0.03495836145721218
Collins,Mr. Phillips,0.005357142857142858
Collins,Mrs. Phillips,0.08320640194899592
Collins,Fitzwilliam,0.14169102174421322
Collins,Colonel Forster,0.03443588671433432
Collins,Mrs. Forster,0.005357142857142858
Collins,Mr. Jones,0.36369951273095985
Charlotte,Mr. Darcy,0.031884784160528916
Charlotte,Mr. Bingley,0.022498625113847443
Charlotte,Elizabeth,0.08024466855275694
Charlotte,Miss Bingley,0.03979891743107604
Charlotte,Lydia,0.036911633441802254
Charlotte,Lady Catherine,0.0723188889299336
Charlotte,Mary,0.008702457418177939
Charlotte,Georgiana,0.005357142857142858
Charlotte,Collins,0.11511428283855973
Charlotte,Charlotte,0.014386087600089983
Charlotte,Mr. Wickham,0.02919232991732349
Charlotte,Miss de Bourgh,0.09351137041455411
Charlotte,Mr. Bennet,0.005357142857142858
Charlotte,Mrs. Bennet,0.02819220199945831
Charlotte,Jane,0.039480008302797395
Charlotte,Louisa,0.03251814987042332
Charlotte,Mr. Hurst,0.03569531804673765
Charlotte,Lucases,0.09856274953847863
Charlotte,Miss Lucas,0.2609072975619119
Charlotte,Sir William,0.11606197639941893
Charlotte,Mrs. Gardiner,0.019978194391354204
Charlotte,Mr. Gardiner,0.005357142857142858
Charlotte,Mr. Phillips,0.005357142857142858
Charlotte,Mrs. Phillips,0.02610638851125542
Charlotte,Fitzwilliam,0.010974453260009337
Charlotte,Colonel Forster,0.042525262942740234
Charlotte,Mrs. Forster,0.005357142857142858
Charlotte,Mr. Jones,0.005357142857142858
Mr. Wickham,Mr. Darcy,0.030690929466560133
Mr. Wickham,Mr. Bingley,0.02549502505172002
Mr. Wickham,Elizabeth,0.019425678512926325
Mr. Wickham,Miss Bingley,0.02105753888793537
Mr. Wickham,Lydia,0.005357142857142858
Mr. Wickham,Lady Catherine,0.022221213740845746
Mr. Wickham,Mary,0.008702457418177939
Mr. Wickham,Georgiana,0.07797152076065149
Mr. Wickham,Collins,0.032796427852497076
Mr. Wickham,Charlotte,0.014386087600089983
Mr. Wickham,Mr. Wickham,0.02919232991732349
Mr. Wickham,Miss de Bourgh,0.009190128243364152
Mr. Wickham,Mr. Bennet,0.02199295099980669
Mr. Wickham,Mrs. Bennet,0.04290239585604754
Mr. Wickham,Jane,0.024158076182082495
Mr. Wickham,Louisa,0.03251814987042332
Mr. Wickham,Mr. Hurst,0.03569531804673765
Mr. Wickham,Lucases,0.005357142857142858
Mr. Wickham,Miss Lucas,0.005357142857142858
Mr. Wickham,Sir William,0.005357142857142858
Mr. Wickham,Mrs. Gardiner,0.05376316155262881
Mr. Wickham,Mr. Gardiner,0.005357142857142858
Mr. Wickham,Mr. Phillips,0.005357142857142858
Mr. Wickham,Mrs. Phillips,0.054152785364380916
Mr. Wickham,Fitzwilliam,0.010974453260009337
Mr. Wickham,Colonel Forster,0.04841326098850766
Mr. Wickham,Mrs. Forster,0.005357142857142858
Mr. Wickham,Mr. Jones,0.005357142857142858
Miss de Bourgh,Mr. Darcy,0.020382717252632448
Miss de Bourgh,Mr. Bingley,0.015792284418907867
Miss de Bourgh,Elizabeth,0.01857732713404807
Miss de Bourgh,Miss Bingley,0.03212964022435389
Miss de Bourgh,Lydia,0.025617345909294265
Miss de Bourgh,Lady Catherine,0.09830786284550669
Miss de Bourgh,Mary,0.006444370089479259
Miss de Bourgh,Georgiana,0.005357142857142858
Miss de Bourgh,Collins,0.031785808490531434
Miss de Bourgh,Charlotte,0.03380593061572832
Miss de Bourgh,Mr. Wickham,0.02919232991732349
Miss de Bourgh,Miss de Bourgh,0.009190128243364152
Miss de Bourgh,Mr. Bennet,0.02199295099980669
Miss de Bourgh,Mrs. Bennet,0.0245672333411465
